Sandbox logs:

Activities log:
day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
-1;4700;TOMATOES;2023;25;;;;;2025;3;2026;32;;;2024.0;0.0
-1;4800;EMERALDS;9998;6;9996;2;9995;22;10004;2;10005;22;;;10001.0;0.0
-1;4800;TOMATOES;2023;24;;;;;2027;24;;;;;2025.0;0.0
-1;4900;EMERALDS;9995;22;;;;;10002;7;10005;22;;;9998.5;0.0
-1;4900;TOMATOES;2023;22;;;;;2027;22;;;;;2025.0;0.0
-1;5000;EMERALDS;9998;3;9996;2;9995;28;10004;2;10005;28;;;10001.0;0.0
-1;5000;TOMATOES;2023;30;;;;;2026;30;;;;;2024.5;0.0
-1;5100;EMERALDS;9996;1;9995;30;;;10004;1;10005;30;;;10000.0;0.0
-1;5100;TOMATOES;2023;37;;;;;2026;31;;;;;2024.5;0.0
-1;5200;EMERALDS;9998;9;9996;1;9995;26;10004;1;10005;26;;;10001.0;0.0
-1;5200;TOMATOES;2023;35;;;;;2026;27;;;;;2024.5;0.0
-1;5300;EMERALDS;9996;1;9995;20;;;10004;1;10005;20;;;10000.0;0.0
-1;5300;TOMATOES;2025;1;2023;21;;;2026;21;;;;;2025.5;0.0
-1;5400;EMERALDS;9995;21;;;;;10005;21;;;;;10000.0;0.0
-1;5400;TOMATOES;2023;21;;;;;2025;6;2027;21;;;2024.0;0.0
-1;5500;EMERALDS;9995;27;;;;;10005;27;;;;;10000.0;0.0
-1;5500;TOMATOES;2023;27;;;;;2027;27;;;;;2025.0;0.0
-1;5600;EMERALDS;9995;28;;;;;10005;28;;;;;10000.0;0.0
-1;5600;TOMATOES;2025;2;2023;28;;;2027;28;;;;;2026.0;0.0
-1;5700;EMERALDS;9998;2;9995;27;;;10005;27;;;;;10001.5;0.0
-1;5700;TOMATOES;2024;26;;;;;2027;27;;;;;2025.5;0.0
-1;5800;EMERALDS;9996;1;9995;30;;;10004;1;10005;30;;;10000.0;0.0
-1;5800;TOMATOES;2024;31;;;;;2027;31;;;;;2025.5;0.0
-1;5900;EMERALDS;9996;2;9995;28;;;10004;2;10005;28;;;10000.0;0.0
-1;5900;TOMATOES;2024;35;;;;;2027;30;;;;;2025.5;0.0
-1;6000;EMERALDS;9995;30;;;;;10005;30;;;;;10000.0;0.0
-1;6000;TOMATOES;2024;30;;;;;2027;30;;;;;2025.5;0.0
-1;6100;EMERALDS;9996;1;9995;24;;;10004;1;10005;24;;;10000.0;0.0
-1;6100;TOMATOES;2024;24;;;;;2027;25;;;;;2025.5;0.0
-1;6200;EMERALDS;9996;1;9995;21;;;10004;1;10005;21;;;10000.0;0.0
-1;6200;TOMATOES;2024;22;;;;;2027;22;;;;;2025.5;0.0
-1;6300;EMERALDS;9996;2;9995;23;;;10004;2;10005;23;;;10000.0;0.0
-1;6300;TOMATOES;2024;30;;;;;2027;25;;;;;2025.5;0.0
-1;6400;EMERALDS;9996;1;9995;24;;;10004;1;10005;24;;;10000.0;0.0
-1;6400;TOMATOES;2024;25;;;;;2027;25;;;;;2025.5;0.0
-1;6500;EMERALDS;9996;1;9995;26;;;9998;1;10004;1;10005;26;9997.0;0.0
-1;6500;TOMATOES;2024;27;;;;;2027;27;;;;;2025.5;0.0
-1;6600;EMERALDS;9996;2;9995;24;;;10004;2;10005;24;;;10000.0;0.0
-1;6600;TOMATOES;2024;26;;;;;2028;26;;;;;2026.0;0.0
-1;6700;EMERALDS;9995;20;;;;;10002;3;10005;20;;;9998.5;0.0
-1;6700;TOMATOES;2025;7;2024;20;;;2028;20;;;;;2026.5;0.0
-1;6800;EMERALDS;9996;2;9995;30;;;10004;2;10005;30;;;10000.0;0.0
-1;6800;TOMATOES;2024;32;;;;;2026;8;2027;2;2028;30;2025.0;0.0
-1;6900;EMERALDS;9996;1;9995;26;;;10002;5;10004;1;10005;26;9999.0;0.0
-1;6900;TOMATOES;2024;27;;;;;2026;1;2027;27;;;2025.0;0.0
-1;7000;EMERALDS;9998;2;9995;27;;;10005;27;;;;;10001.5;0.0
-1;7000;TOMATOES;2026;4;2024;27;;;2027;27;;;;;2026.5;0.0
-1;7100;EMERALDS;9996;1;9995;29;;;10004;1;10005;29;;;10000.0;0.0
-1;7100;TOMATOES;2024;30;;;;;2027;30;;;;;2025.5;0.0
-1;7200;EMERALDS;9998;5;9996;1;9995;27;10004;1;10005;27;;;10001.0;0.0
-1;7200;TOMATOES;2024;28;;;;;2027;28;;;;;2025.5;0.0
-1;7300;EMERALDS;10002;1;9996;2;9995;29;10004;2;10005;29;;;10003.0;0.0
-1;7300;TOMATOES;2024;35;;;;;2027;31;;;;;2025.5;0.0
-1;7400;EMERALDS;9996;1;9995;22;;;10004;1;10005;22;;;10000.0;0.0
-1;7400;TOMATOES;2024;22;;;;;2027;23;;;;;2025.5;0.0
-1;7500;EMERALDS;9995;25;;;;;10002;10;10005;25;;;9998.5;0.0
-1;7500;TOMATOES;2024;25;;;;;2027;25;;;;;2025.5;0.0
-1;7600;EMERALDS;9996;2;9995;20;;;10004;2;10005;20;;;10000.0;0.0
-1;7600;TOMATOES;2024;22;;;;;2027;22;;;;;2025.5;0.0
-1;7700;EMERALDS;9995;22;;;;;10005;22;;;;;10000.0;0.0
-1;7700;TOMATOES;2024;21;;;;;2027;22;;;;;2025.5;0.0
-1;7800;EMERALDS;9998;3;9996;1;9995;22;10004;1;10005;22;;;10001.0;0.0
-1;7800;TOMATOES;2024;23;;;;;2027;23;;;;;2025.5;0.0
-1;7900;EMERALDS;9996;1;9995;26;;;10004;1;10005;26;;;10000.0;0.0
-1;7900;TOMATOES;2024;31;;;;;2027;27;;;;;2025.5;0.0
-1;8000;EMERALDS;9995;27;;;;;10005;27;;;;;10000.0;0.0
-1;8000;TOMATOES;2024;27;;;;;2026;8;2027;27;;;2025.0;0.0
-1;8100;EMERALDS;9996;1;9995;22;;;10004;1;10005;22;;;10000.0;0.0
-1;8100;TOMATOES;2023;23;;;;;2027;23;;;;;2025.0;0.0
-1;8200;EMERALDS;9995;23;;;;;10005;23;;;;;10000.0;0.0
-1;8200;TOMATOES;2023;23;;;;;2025;1;2026;23;;;2024.0;0.0
-1;8300;EMERALDS;9996;1;9995;29;;;10004;1;10005;29;;;10000.0;0.0
-1;8300;TOMATOES;2023;30;;;;;2026;30;;;;;2024.5;0.0
-1;8400;EMERALDS;9995;28;;;;;10005;28;;;;;10000.0;0.0
-1;8400;TOMATOES;2023;28;;;;;2026;28;;;;;2024.5;0.0
-1;8500;EMERALDS;9998;10;9996;2;9995;29;10004;2;10005;29;;;10001.0;0.0
-1;8500;TOMATOES;2023;31;;;;;2026;31;;;;;2024.5;0.0
-1;8600;EMERALDS;9996;1;9995;22;;;10004;1;10005;22;;;10000.0;0.0
-1;8600;TOMATOES;2023;22;;;;;2026;23;;;;;2024.5;0.0
-1;8700;EMERALDS;9998;10;9995;27;;;10005;27;;;;;10001.5;0.0
-1;8700;TOMATOES;2023;27;;;;;2025;4;2026;27;;;2024.0;0.0
-1;8800;EMERALDS;9995;25;;;;;9998;1;10005;25;;;9996.5;0.0
-1;8800;TOMATOES;2024;7;2023;25;;;2027;25;;;;;2025.5;0.0
-1;8900;EMERALDS;9998;9;9995;26;;;10005;26;;;;;10001.5;0.0
-1;8900;TOMATOES;2024;1;2023;26;;;2027;26;;;;;2025.5;0.0
-1;9000;EMERALDS;9996;2;9995;29;;;10004;2;10005;29;;;10000.0;0.0
-1;9000;TOMATOES;2023;31;;;;;2027;31;;;;;2025.0;0.0
-1;9100;EMERALDS;9998;3;9996;2;9995;27;10004;2;10005;27;;;10001.0;0.0
-1;9100;TOMATOES;2023;29;;;;;2026;2;2027;27;;;2024.5;0.0
-1;9200;EMERALDS;9998;10;9995;27;;;10005;27;;;;;10001.5;0.0
-1;9200;TOMATOES;2023;27;;;;;2025;7;2026;27;;;2024.0;0.0
-1;9300;EMERALDS;9996;1;9995;20;;;10004;1;10005;20;;;10000.0;0.0
-1;9300;TOMATOES;2023;21;;;;;2026;21;;;;;2024.5;0.0
-1;9400;EMERALDS;9998;2;9996;2;9995;21;10004;2;10005;21;;;10001.0;0.0
-1;9400;TOMATOES;2023;23;;;;;2026;23;;;;;2024.5;0.0
-1;9500;EMERALDS;9996;1;9995;30;;;10004;1;10005;30;;;10000.0;0.0
-1;9500;TOMATOES;2023;35;;;;;2026;31;;;;;2024.5;0.0
-1;9600;EMERALDS;9996;1;9995;30;;;10004;1;10005;30;;;10000.0;0.0
-1;9600;TOMATOES;2023;31;;;;;2026;31;;;;;2024.5;0.0
-1;9700;EMERALDS;9995;22;;;;;10002;1;10005;22;;;9998.5;0.0
-1;9700;TOMATOES;2023;22;;;;;2026;22;;;;;2024.5;0.0
-1;9800;EMERALDS;9995;26;;;;;10005;26;;;;;10000.0;0.0
-1;9800;TOMATOES;2023;26;;;;;2026;26;;;;;2024.5;0.0
-1;9900;EMERALDS;9995;25;;;;;10005;25;;;;;10000.0;0.0
-1;9900;TOMATOES;2025;4;2023;25;;;2026;25;;;;;2025.5;0.0
-1;10000;EMERALDS;9995;28;;;;;10005;28;;;;;10000.0;0.0
-1;10000;TOMATOES;2023;36;;;;;2026;28;;;;;2024.5;0.0
-1;10100;EMERALDS;9996;1;9995;24;;;10002;3;10004;1;10005;24;9999.0;0.0
-1;10100;TOMATOES;2023;25;;;;;2026;25;;;;;2024.5;0.0
-1;10200;EMERALDS;9996;2;9995;26;;;10004;2;10005;26;;;10000.0;0.0
-1;10200;TOMATOES;2022;28;;;;;2026;28;;;;;2024.0;0.0
-1;10300;EMERALDS;9998;4;9995;27;;;10005;27;;;;;10001.5;0.0
-1;10300;TOMATOES;2024;1;2022;35;;;2025;27;;;;;2024.5;0.0
-1;10400;EMERALDS;10002;1;9996;1;9995;28;10004;1;10005;28;;;10003.0;0.0
-1;10400;TOMATOES;2023;1;2022;29;;;2026;29;;;;;2024.5;0.0
-1;10500;EMERALDS;9998;4;9996;2;9995;29;10004;2;10005;29;;;10001.0;0.0
-1;10500;TOMATOES;2023;2;2022;29;;;2026;31;;;;;2024.5;0.0
-1;10600;EMERALDS;9996;2;9995;29;;;10000;4;10004;2;10005;29;9998.0;0.0
-1;10600;TOMATOES;2022;31;;;;;2023;4;2024;4;2025;31;2022.5;0.0
-1;10700;EMERALDS;9998;8;9995;28;;;10005;28;;;;;10001.5;0.0
-1;10700;TOMATOES;2022;29;;;;;2025;28;;;;;2023.5;0.0
-1;10800;EMERALDS;9998;5;9996;2;9995;22;10004;2;10005;22;;;10001.0;0.0
-1;10800;TOMATOES;2022;27;;;;;2025;24;;;;;2023.5;0.0
-1;10900;EMERALDS;9996;1;9995;27;;;10004;1;10005;27;;;10000.0;0.0
-1;10900;TOMATOES;2022;35;;;;;2025;28;;;;;2023.5;0.0
-1;11000;EMERALDS;9995;24;;;;;10002;7;10005;24;;;9998.5;0.0
-1;11000;TOMATOES;2024;7;2022;24;;;2025;24;;;;;2024.5;0.0
-1;11100;EMERALDS;9998;3;9995;21;;;10005;21;;;;;10001.5;0.0
-1;11100;TOMATOES;2022;21;;;;;2025;21;;;;;2023.5;0.0
-1;11200;EMERALDS;9996;2;9995;21;;;10002;7;10004;2;10005;21;9999.0;0.0
-1;11200;TOMATOES;2022;23;;;;;2025;23;;;;;2023.5;0.0
-1;11300;EMERALDS;9996;1;9995;21;;;10004;1;10005;21;;;10000.0;0.0
-1;11300;TOMATOES;2022;25;;;;;2025;22;;;;;2023.5;0.0
-1;11400;EMERALDS;9996;1;9995;25;;;10004;1;10005;25;;;10000.0;0.0
-1;11400;TOMATOES;2022;26;;;;;2025;26;;;;;2023.5;0.0
-1;11500;EMERALDS;9996;1;9995;25;;;10002;7;10004;1;10005;25;9999.0;0.0
-1;11500;TOMATOES;2022;26;;;;;2024;8;2025;26;;;2023.0;0.0
-1;11600;EMERALDS;9996;2;9995;27;;;10002;2;10004;2;10005;27;9999.0;0.0
-1;11600;TOMATOES;2022;29;;;;;2026;29;;;;;2024.0;0.0
-1;11700;EMERALDS;9996;2;9995;21;;;10004;2;10005;21;;;10000.0;0.0
-1;11700;TOMATOES;2022;23;;;;;2023;2;2026;23;;;2022.5;0.0
-1;11800;EMERALDS;9998;10;9995;29;;;10000;5;10005;29;;;9999.0;0.0
-1;11800;TOMATOES;2022;29;;;;;2024;4;2026;29;;;2023.0;0.0
-1;11900;EMERALDS;9996;2;9995;30;;;10004;2;10005;30;;;10000.0;0.0
-1;11900;TOMATOES;2023;2;2022;30;;;2024;3;2026;32;;;2023.5;0.0
-1;12000;EMERALDS;10002;1;9995;20;;;10005;20;;;;;10003.5;0.0
-1;12000;TOMATOES;2023;20;;;;;2026;20;;;;;2024.5;0.0
-1;12100;EMERALDS;9996;2;9995;25;;;10004;2;10005;25;;;10000.0;0.0
-1;12100;TOMATOES;2023;27;;;;;2025;1;2026;27;;;2024.0;0.0
-1;12200;EMERALDS;9996;2;9995;28;;;10004;2;10005;28;;;10000.0;0.0
-1;12200;TOMATOES;2023;34;;;;;2026;30;;;;;2024.5;0.0
-1;12300;EMERALDS;9998;6;9996;1;9995;28;10004;1;10005;28;;;10001.0;0.0
-1;12300;TOMATOES;2023;29;;;;;2026;29;;;;;2024.5;0.0
-1;12400;EMERALDS;9995;26;;;;;10005;26;;;;;10000.0;0.0
-1;12400;TOMATOES;2023;30;;;;;2026;26;;;;;2024.5;0.0
-1;12500;EMERALDS;9995;20;;;;;10005;20;;;;;10000.0;0.0
-1;12500;TOMATOES;2023;19;;;;;2026;20;;;;;2024.5;0.0
-1;12600;EMERALDS;9995;22;;;;;10005;22;;;;;10000.0;0.0
-1;12600;TOMATOES;2023;22;;;;;2026;22;;;;;2024.5;0.0
-1;12700;EMERALDS;9996;2;9995;20;;;10004;2;10005;20;;;10000.0;0.0
-1;12700;TOMATOES;2023;22;;;;;2026;22;;;;;2024.5;0.0
-1;12800;EMERALDS;9996;2;9995;20;;;10004;2;10005;20;;;10000.0;0.0
-1;12800;TOMATOES;2023;22;;;;;2026;22;;;;;2024.5;0.0
-1;12900;EMERALDS;9996;1;9995;28;;;10002;3;10004;1;10005;28;9999.0;0.0
-1;12900;TOMATOES;2023;36;;;;;2026;29;;;;;2024.5;0.0
-1;13000;EMERALDS;10002;1;9995;20;;;10005;20;;;;;10003.5;0.0
-1;13000;TOMATOES;2025;1;2023;6;2022;20;2026;20;;;;;2025.5;0.0
-1;13100;EMERALDS;9996;1;9995;25;;;10004;1;10005;25;;;10000.0;0.0
-1;13100;TOMATOES;2023;33;;;;;2026;26;;;;;2024.5;0.0
-1;13200;EMERALDS;9998;2;9995;22;;;10005;22;;;;;10001.5;0.0
-1;13200;TOMATOES;2022;22;;;;;2025;5;2026;22;;;2023.5;0.0
-1;13300;EMERALDS;9995;24;;;;;10005;24;;;;;10000.0;0.0
-1;13300;TOMATOES;2023;6;2022;24;;;2026;24;;;;;2024.5;0.0
-1;13400;EMERALDS;9996;2;9995;30;;;10004;2;10005;30;;;10000.0;0.0
-1;13400;TOMATOES;2023;32;;;;;2026;32;;;;;2024.5;0.0
-1;13500;EMERALDS;9995;30;;;;;10005;30;;;;;10000.0;0.0
-1;13500;TOMATOES;2022;30;;;;;2025;8;2026;30;;;2023.5;0.0
-1;13600;EMERALDS;9995;25;;;;;10002;10;10005;25;;;9998.5;0.0
-1;13600;TOMATOES;2023;24;;;;;2025;3;2026;25;;;2024.0;0.0
-1;13700;EMERALDS;9996;1;9995;20;;;9998;4;10004;1;10005;20;9997.0;0.0
-1;13700;TOMATOES;2023;25;;;;;2026;21;;;;;2024.5;0.0
-1;13800;EMERALDS;9996;2;9995;20;;;10004;2;10005;20;;;10000.0;0.0
-1;13800;TOMATOES;2023;23;;;;;2026;22;;;;;2024.5;0.0
-1;13900;EMERALDS;9996;2;9995;20;;;10000;6;10004;2;10005;20;9998.0;0.0
-1;13900;TOMATOES;2023;22;;;;;2024;6;2025;4;2026;22;2023.5;0.0
-1;14000;EMERALDS;9998;5;9996;2;9995;27;10004;2;10005;27;;;10001.0;0.0
-1;14000;TOMATOES;2023;3;2022;29;;;2026;29;;;;;2024.5;0.0
-1;14100;EMERALDS;9996;2;9995;23;;;10004;2;10005;23;;;10000.0;0.0
-1;14100;TOMATOES;2023;25;;;;;2025;1;2026;25;;;2024.0;0.0
-1;14200;EMERALDS;9995;21;;;;;10005;21;;;;;10000.0;0.0
-1;14200;TOMATOES;2023;20;;;;;2026;21;;;;;2024.5;0.0
-1;14300;EMERALDS;9996;2;9995;27;;;10004;2;10005;27;;;10000.0;0.0
-1;14300;TOMATOES;2022;29;;;;;2026;29;;;;;2024.0;0.0
-1;14400;EMERALDS;9996;1;9995;29;;;10004;1;10005;29;;;10000.0;0.0
-1;14400;TOMATOES;2023;30;;;;;2026;30;;;;;2024.5;0.0
-1;14500;EMERALDS;9995;24;;;;;10002;1;10005;24;;;9998.5;0.0
-1;14500;TOMATOES;2023;24;;;;;2026;24;;;;;2024.5;0.0
-1;14600;EMERALDS;9996;2;9995;26;;;10000;2;10004;2;10005;26;9998.0;0.0
-1;14600;TOMATOES;2022;28;;;;;2024;2;2026;28;;;2023.0;0.0
-1;14700;EMERALDS;9995;30;;;;;10002;7;10005;30;;;9998.5;0.0
-1;14700;TOMATOES;2022;30;;;;;2025;30;;;;;2023.5;0.0
-1;14800;EMERALDS;9995;28;;;;;10002;6;10005;28;;;9998.5;0.0
-1;14800;TOMATOES;2022;28;;;;;2025;28;;;;;2023.5;0.0
-1;14900;EMERALDS;10000;4;9995;26;;;10005;26;;;;;10002.5;0.0
-1;14900;TOMATOES;2023;4;2022;26;;;2025;26;;;;;2024.0;0.0
-1;15000;EMERALDS;9998;1;9995;25;;;10005;25;;;;;10001.5;0.0
-1;15000;TOMATOES;2024;8;2022;25;;;2025;25;;;;;2024.5;0.0
-1;15100;EMERALDS;9995;22;;;;;10005;22;;;;;10000.0;0.0
-1;15100;TOMATOES;2022;27;;;;;2025;22;;;;;2023.5;0.0
-1;15200;EMERALDS;9998;6;9995;27;;;10005;27;;;;;10001.5;0.0
-1;15200;TOMATOES;2022;26;;;;;2025;27;;;;;2023.5;0.0
-1;15300;EMERALDS;9995;26;;;;;10002;1;10005;26;;;9998.5;0.0
-1;15300;TOMATOES;2022;26;;;;;2024;4;2025;26;;;2023.0;0.0
-1;15400;EMERALDS;9996;2;9995;28;;;9998;1;10004;2;10005;28;9997.0;0.0
-1;15400;TOMATOES;2022;35;;;;;2025;30;;;;;2023.5;0.0
-1;15500;EMERALDS;10002;1;9996;2;9995;29;10004;2;10005;29;;;10003.0;0.0
-1;15500;TOMATOES;2022;31;;;;;2024;8;2025;31;;;2023.0;0.0
-1;15600;EMERALDS;9996;2;9995;24;;;10004;2;10005;24;;;10000.0;0.0
-1;15600;TOMATOES;2022;31;;;;;2025;26;;;;;2023.5;0.0
-1;15700;EMERALDS;10002;5;9996;1;9995;24;10004;1;10005;24;;;10003.0;0.0
-1;15700;TOMATOES;2022;25;;;;;2025;25;;;;;2023.5;0.0
-1;15800;EMERALDS;9998;10;9996;2;9995;20;10004;2;10005;20;;;10001.0;0.0
-1;15800;TOMATOES;2025;1;2022;22;;;2026;22;;;;;2025.5;0.0
